Logo,Name,Acronym,Address,Phone,Email,Website,Country,Affilated,Recorded By,Recorded Date
https://www.anatacaodamadeira.pt//images/clubes/clube-ass-desp-camapanario.jpg,Associação Desportiva do Campanário,ADC,"Estrada Dr. Francisco Justino Gonçalves de Andrade, Nº 30",(+351) 291 953 612,associacaodesportivacampanario@hotmail.com;,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/ass-galomar.jpg,Associação Desportiva Galomar,ADG,"Rua Dom Francisco Santana,",(+351) 291 930 946,natacaogalomar@gmail.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-CDN.jpg,Clube Desportivo Nacional,CDN,"Rua do Esmeraldo, 46",(+351) 291 227 324,natacaodonacional@iol.pt,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-desp-santanenese.jpg,Clube Desportivo Recreativo Santanense,CDRS,"Rua Dr. João Abel Freitas, Nº 23.",(+351) 291 573977,santanense@sapo.pt,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-cdsroque.jpg,Clube Desportivo São Roque,CDSR,"Caminho de São Roque 121,",(+351) 291 743060,geral@cdsaoroque.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/ass-CEOL1.jpg,"Clube Escola ""O Liceu""",CEOL,Piscina do Liceu Jaime Moniz Largo Jaime Moniz,(+351) 966 063 350,clubeoliceu@gmail.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-CFandorinha.jpg,Clube Futebol Andorinha,CFA,"Impasse 2 do Caminho da Igreja, nº 5",(+351) 291 743 925,cfandorinha@gmail.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-CNF.jpg,Clube Naval do Funchal,CNF,Complexo Desportivo da Nazaré,(+351) 291 701 770,andrecunha@clubenavaldofunchal.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-CNSV.jpg,Clube Naval de São Vicente,CNSV,"Rua do Varadouro, 2,",(+351) 291 84 2074,cnavalsaovicente@gmail.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-CSM.jpg,Clube Sport Marítimo,CSM,Rua do Campo do Marítimo,(+351) 291 708 300,natacaocsmaritimo@gmail.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-CUC.jpg,Clube Desportivo Unidos da Camacha,CDUC,Caminho Municipal da Achadinha n. º 83,(+351) 925 877 604( Presidente),cdunidoscamacha@gmail.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-corticeiras.jpg,Grupo Desportivo Corticeiras,GDC,"Estrada da Boca dos Namorados, Nº 1.",(+351) 920 395 256,g.d.corticeiras@live.com.pt;,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-ICSC.jpg,Iate Clube Santa Cruz,ICSC,Foz da Ribeira da Boaventura,(+351) 291 524 036,iateclubesantacruz@netmadeira.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-ludens-Machico.jpg,Ludens Clube de Machico,LCM,"Rua do Leiria 1B, edf. Porto de recreio",(+351) 291 964 250,ludensmachico@gmail.com,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
https://www.anatacaodamadeira.pt//images/clubes/clube-JAC.jpg,Salesianos do Funchal / Juventude Atlântico Clube,SFJAC,"Largo São João Bosco, nº 45, Funchal.",(+351) 962 547 151,Endereço geral:  juventudeac2013@gmail.com;,,Portugal,Associação de Natação da Madeira,Eduardo Sávio,04/02/2022
