Name,Acronym,Country,Affilated,Recorded By,Recorded Date
Barracks Rangers,Barracks Rangers,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
Rochester Aardvarks,Rochester Aardvarks,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
South Buffalo,South Buffalo,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
Genesee,Genesee,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
Southtowns,Southtowns,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
Binghamton,Binghamton,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
Bronx Rugby,Bronx Rugby,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
Lansdowne,Lansdowne,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
NYRC,NYRC,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
Queens,Queens,USA,Empire Rugby Union,Eduardo S vio,15/02/2022
