,Unnamed: 0,Name,Acronym,Country,Affilated,Recorded By,Recorded Date
0,0,New Haven,New Haven,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
1,1,Danbury M,Danbury M,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
2,2,Saratoga,Saratoga,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
3,3,Greenwich,Greenwich,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
4,4,Hudson Valley,Hudson Valley,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
5,5,Suffolk,Suffolk,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
6,6,NYRC,NYRC,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
7,7,Brooklyn,Brooklyn,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
8,8,Gotham,Gotham,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
9,9,Village Lions,Village Lions,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
10,10,Rochester Aardvarks,Rochester Aardvarks,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
11,11,Buffalo B,Buffalo B,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
12,12,Rochester Colonials,Rochester Colonials,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
13,13,Ken-Ton,Ken-Ton,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
14,14,Syracuse,Syracuse,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
15,15,Union,Union,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
16,16,Morris,Morris,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
17,17,Montclair,Montclair,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
18,18,Monmouth,Monmouth,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
19,19,Bayonne,Bayonne,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
20,20,North Jersey,North Jersey,USA,Empire Rugby Union,Eduardo Sávio,15/02/2022
