Name,Acronym,Country,Affilated,Recorded By,Recorded Date
FOX VALLEY MAORI,FOX VALLEY MAORI,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PEORIA PIGS,PEORIA PIGS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO BLAZE (D3),CHICAGO BLAZE (D3),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO RIOT,CHICAGO RIOT,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
ROCKFORD RAVENS,ROCKFORD RAVENS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
NORTHWEST INDIANA REAPERS,NORTHWEST INDIANA REAPERS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
NORTHWEST WOODSMEN,NORTHWEST WOODSMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
LAKE COUNTY RFC,LAKE COUNTY RFC,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
AKRON RUGBY CLUB,AKRON RUGBY CLUB,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CLEVELAND ROVERS,CLEVELAND ROVERS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
SOUTH PITTSBURGH HOOLIGANS,SOUTH PITTSBURGH HOOLIGANS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CLEVELAND CRUSADERS (D3),CLEVELAND CRUSADERS (D3),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PRESQUE ISLE SCALLYWAGS,PRESQUE ISLE SCALLYWAGS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PITTSBURGH FORGE (D3),PITTSBURGH FORGE (D3),USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
GREENSBURG MAULERS,GREENSBURG MAULERS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
BREMER COUNTY BUCKS,BREMER COUNTY BUCKS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
NORTHEAST IOWA BARBARIANS,NORTHEAST IOWA BARBARIANS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
WEST DES MOINES WOMBATS,WEST DES MOINES WOMBATS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
QUAD CITY IRISH,QUAD CITY IRISH,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CLINTON MUDDY RIVER,CLINTON MUDDY RIVER,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
