Name,Acronym,Country,Affilated,Recorded By,Recorded Date
NORTH BUFFALO NINJAS,NORTH BUFFALO NINJAS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
SOUTH BUFFALO WOMEN,SOUTH BUFFALO WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
AKRON WOMEN'S RUGBY,AKRON WOMEN'S RUGBY,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CLEVELAND IRON MAIDENS,CLEVELAND IRON MAIDENS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
GRAND RAPIDS WOMEN,GRAND RAPIDS WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
FORT WAYNE WOMEN,FORT WAYNE WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
DAYTON AREA WOMEN,DAYTON AREA WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
LEXINGTON BLACK WIDOWS,LEXINGTON BLACK WIDOWS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
PALMER COLLEGE WOMEN,PALMER COLLEGE WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
MILWAUKEE SCYLLA,MILWAUKEE SCYLLA,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
TWIN-CITIES AMAZONS,TWIN-CITIES AMAZONS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
MINNEAPOLIS MENAGERIE,MINNEAPOLIS MENAGERIE,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
CHICAGO SIRENS,CHICAGO SIRENS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
OCONOMOWOC WOMEN,OCONOMOWOC WOMEN,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
COUNTY WILL MORRIGANS,COUNTY WILL MORRIGANS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
FOX VALLEY VIXENS,FOX VALLEY VIXENS,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
NORTHWEST INDIANA BANSHEES,NORTHWEST INDIANA BANSHEES,USA,Midwest Rugby Football Union,Eduardo S vio,15/02/2022
